level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	301	312	1949	573	-1	
3	1	1	1	0	0	301	312	1948	149	-1	
4	1	1	1	1	0	301	312	1948	33	-1	
5	1	1	1	1	1	301	312	104	33	93	SIUE
5	1	1	1	1	2	416	312	237	33	93	ARCHIVES
5	1	1	1	1	3	1883	312	266	33	92	NOVEMBER
5	1	1	1	1	4	2163	312	86	33	91	1987
4	1	1	1	2	0	301	366	1948	41	-1	
5	1	1	1	2	1	301	366	249	33	94	RESEARCH
5	1	1	1	2	2	563	366	329	33	93	COLLECTIONS
5	1	1	1	2	3	1835	366	107	33	93	ACC.
5	1	1	1	2	4	1954	366	110	33	90	#M87
5	1	1	1	2	5	2068	366	45	41	89	:4,
5	1	1	1	2	6	2124	366	88	33	90	M87
5	1	1	1	2	7	2215	366	34	33	89	:3
4	1	1	1	3	0	1932	420	317	41	-1	
5	1	1	1	3	1	1932	420	100	33	89	M87:
5	1	1	1	3	2	2038	420	53	41	88	16,
5	1	1	1	3	3	2102	420	100	33	88	M87:
5	1	1	1	3	4	2208	420	41	33	92	19
3	1	1	2	0	0	1932	474	317	41	-1	
4	1	1	2	1	0	1932	474	317	41	-1	
5	1	1	2	1	1	1932	474	87	33	91	M87
5	1	1	2	1	2	2023	474	68	41	89	:26,
5	1	1	2	1	3	2102	474	87	33	90	M87
5	1	1	2	1	4	2193	474	56	33	89	:34
3	1	1	3	0	0	1932	528	317	41	-1	
4	1	1	3	1	0	1932	528	317	41	-1	
5	1	1	3	1	1	1932	528	87	33	91	M87
5	1	1	3	1	2	2023	528	68	41	89	:50,
5	1	1	3	1	3	2102	528	147	33	89	M88:54
3	1	1	4	0	0	1954	582	295	41	-1	
4	1	1	4	1	0	1954	582	295	41	-1	
5	1	1	4	1	1	1954	582	159	41	89	M88:65,
5	1	1	4	1	2	2124	582	125	33	88	M89:9
3	1	1	5	0	0	1932	636	317	41	-1	
4	1	1	5	1	0	1932	636	317	41	-1	
5	1	1	5	1	1	1932	636	159	41	89	M89:24,
5	1	1	5	1	2	2102	636	147	33	89	M90:38
3	1	1	6	0	0	1932	690	317	41	-1	
4	1	1	6	1	0	1932	690	317	41	-1	
5	1	1	6	1	1	1932	690	159	41	89	M91:17,
5	1	1	6	1	2	2102	690	147	33	89	M91:57
3	1	1	7	0	0	1954	744	295	41	-1	
4	1	1	7	1	0	1954	744	295	41	-1	
5	1	1	7	1	1	1954	744	137	41	88	M92:1,
5	1	1	7	1	2	2102	744	147	33	89	M92:17
3	1	1	8	0	0	1932	798	317	41	-1	
4	1	1	8	1	0	1932	798	317	41	-1	
5	1	1	8	1	1	1932	798	159	41	88	M92:77,
5	1	1	8	1	2	2102	798	147	33	89	M93:47
3	1	1	9	0	0	2102	852	148	33	-1	
4	1	1	9	1	0	2102	852	148	33	-1	
5	1	1	9	1	1	2102	852	148	33	89	M94:29
2	1	2	0	0	0	804	960	944	96	-1	
3	1	2	1	0	0	804	960	944	96	-1	
4	1	2	1	1	0	939	960	675	33	-1	
5	1	2	1	1	1	939	960	125	33	94	CARL
5	1	2	1	1	2	1075	960	222	33	93	BALDWIN
5	1	2	1	1	3	1309	960	305	33	93	COLLECTION
4	1	2	1	2	0	804	1014	944	42	-1	
5	1	2	1	2	1	804	1014	21	33	91	8
5	1	2	1	2	2	837	1015	139	32	86	Record
5	1	2	1	2	3	989	1014	164	41	87	Cartons,
5	1	2	1	2	4	1167	1014	18	32	99	1
5	1	2	1	2	5	1198	1014	193	42	87	Hollinger,
5	1	2	1	2	6	1405	1014	42	32	90	12
5	1	2	1	2	7	1458	1015	78	32	89	Flat
5	1	2	1	2	8	1548	1014	200	42	87	Hollingers
2	1	3	0	0	0	300	1176	1835	308	-1	
3	1	3	1	0	0	300	1176	823	42	-1	
4	1	3	1	1	0	300	1176	823	42	-1	
5	1	3	1	1	1	300	1176	216	33	87	Box/Folder
5	1	3	1	1	2	900	1176	223	42	73	Description
3	1	3	2	0	0	302	1334	1371	42	-1	
4	1	3	2	1	0	302	1334	1371	42	-1	
5	1	3	2	1	1	302	1335	78	32	87	3/22
5	1	3	2	1	2	1050	1334	130	42	85	Piggott
5	1	3	2	1	3	1190	1334	127	42	88	Family
5	1	3	2	1	4	1328	1334	165	33	88	Research
5	1	3	2	1	5	1504	1334	169	33	85	Materials
3	1	3	3	0	0	302	1388	1093	33	-1	
4	1	3	3	1	0	302	1388	1093	33	-1	
5	1	3	3	1	1	302	1389	76	32	87	3/23
5	1	3	3	1	2	1050	1388	166	33	87	Research
5	1	3	3	1	3	1226	1388	169	33	85	Materials
3	1	3	4	0	0	302	1442	1833	42	-1	
4	1	3	4	1	0	302	1442	1833	42	-1	
